,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
53,52,"Thu, Feb 1, 2018",10:30p  ET,,Box Score,,Oklahoma City Thunder,W,,127,124,27,25,W 1,
54,53,"Sat, Feb 3, 2018",9:00p  ET,,Box Score,,Golden State Warriors,W,,115,108,28,25,W 2,
55,54,"Mon, Feb 5, 2018",9:00p  ET,,Box Score,,Charlotte Hornets,W,,121,104,29,25,W 3,
56,55,"Fri, Feb 9, 2018",8:00p  ET,,Box Score,@,Houston Rockets,L,,104,130,29,26,L 1,
57,56,"Sat, Feb 10, 2018",9:00p  ET,,Box Score,@,Phoenix Suns,W,,123,113,30,26,W 1,
58,57,"Tue, Feb 13, 2018",10:30p  ET,,Box Score,,San Antonio Spurs,W,,117,109,31,26,W 2,
59,58,"Thu, Feb 15, 2018",8:00p  ET,,Box Score,@,Milwaukee Bucks,W,,134,123,32,26,W 3,
60,59,"Fri, Feb 23, 2018",9:00p  ET,,Box Score,,San Antonio Spurs,W,,122,119,33,26,W 4,
61,60,"Sun, Feb 25, 2018",8:00p  ET,,Box Score,,Houston Rockets,L,,114,119,33,27,L 1,
63,61,"Tue, Feb 27, 2018",10:30p  ET,,Box Score,,Los Angeles Clippers,L,,120,122,33,28,L 2,
64,62,"Fri, Mar 2, 2018",8:00p  ET,,Box Score,@,Memphis Grizzlies,W,,108,102,34,28,W 1,
65,63,"Sat, Mar 3, 2018",7:30p  ET,,Box Score,@,Cleveland Cavaliers,W,,126,117,35,28,W 2,
66,64,"Tue, Mar 6, 2018",8:30p  ET,,Box Score,@,Dallas Mavericks,L,,107,118,35,29,L 1,
67,65,"Wed, Mar 7, 2018",10:30p  ET,,Box Score,,Cleveland Cavaliers,L,,108,113,35,30,L 2,
68,66,"Fri, Mar 9, 2018",9:00p  ET,,Box Score,,Los Angeles Lakers,W,,125,116,36,30,W 1,
69,67,"Sun, Mar 11, 2018",5:00p  ET,,Box Score,,Sacramento Kings,W,,130,104,37,30,W 2,
70,68,"Tue, Mar 13, 2018",10:30p  ET,,Box Score,@,Los Angeles Lakers,L,,103,112,37,31,L 1,
71,69,"Thu, Mar 15, 2018",9:00p  ET,,Box Score,,Detroit Pistons,W,,120,113,38,31,W 1,
72,70,"Sat, Mar 17, 2018",8:00p  ET,,Box Score,@,Memphis Grizzlies,L,,94,101,38,32,L 1,
73,71,"Mon, Mar 19, 2018",7:30p  ET,,Box Score,@,Miami Heat,L,2OT,141,149,38,33,L 2,
74,72,"Wed, Mar 21, 2018",8:00p  ET,,Box Score,@,Chicago Bulls,W,,135,102,39,33,W 1,
75,73,"Fri, Mar 23, 2018",7:00p  ET,,Box Score,@,Washington Wizards,W,,108,100,40,33,W 2,
76,74,"Mon, Mar 26, 2018",7:00p  ET,,Box Score,@,Philadelphia 76ers,L,,104,123,40,34,L 1,
77,75,"Tue, Mar 27, 2018",7:30p  ET,,Box Score,@,Toronto Raptors,L,,110,114,40,35,L 2,
78,76,"Fri, Mar 30, 2018",8:00p  ET,,Box Score,@,Oklahoma City Thunder,W,OT,126,125,41,35,W 1,
79,77,"Sun, Apr 1, 2018",8:00p  ET,,Box Score,,Milwaukee Bucks,W,OT,128,125,42,35,W 2,
80,78,"Tue, Apr 3, 2018",9:00p  ET,,Box Score,,Indiana Pacers,W,,107,104,43,35,W 3,
81,79,"Thu, Apr 5, 2018",10:30p  ET,,Box Score,,Minnesota Timberwolves,W,,100,96,44,35,W 4,
82,80,"Sat, Apr 7, 2018",3:30p  ET,,Box Score,@,Los Angeles Clippers,W,,134,115,45,35,W 5,
84,81,"Mon, Apr 9, 2018",9:00p  ET,,Box Score,,Portland Trail Blazers,W,,88,82,46,35,W 6,
85,82,"Wed, Apr 11, 2018",8:00p  ET,,Box Score,@,Minnesota Timberwolves,L,OT,106,112,46,36,L 1,
